Sample #,Fx,Fy,Fz,Mx,My,Mz,RTA,RSO,LTA,LSO,GO
1,-2.264292,1.297664,-619.755066,440807.4688,-4806.228027,3851.119141,0.002992,0.009882,0.003417,-0.007121,1.209709
2,-1.914859,1.319664,-623.642029,443278.125,-4602.77002,4083.17334,0.005052,0.007135,0.002464,0.007871,1.209709
3,-2.393979,1.461431,-621.624268,443012.0938,-4775.208008,4421.616699,-0.004141,0.004732,-0.005547,0.003828,1.209709
4,-2.227735,1.392128,-619.427307,442877.5938,-4418.254883,3942.141602,-0.012686,0.004732,-0.000779,-0.002886,1.209709
5,-2.141387,1.492455,-621.064697,442421,-4639.978516,3612.885498,-0.009596,-0.002401,-0.000626,-0.00239,1.209709
6,-2.303452,1.609518,-618.879456,442738.0313,-4686.101074,3909.539795,-0.006087,0.001299,0.00254,-0.00529,1.209709
7,-2.190143,2.192876,-621.75708,440968.75,-4700.991699,3857.908447,-0.001662,-0.000952,-0.003411,-0.006815,1.209709
8,-2.053244,1.198922,-619.778015,441719.4063,-4759.187988,3976.123779,-0.006354,0.012972,-0.006806,0.009435,1.209709
9,-2.072699,0.713229,-616.861389,441604.5625,-4837.516602,4062.061768,-0.002501,0.01343,-0.008217,0.005239,1.209709
10,-2.115451,1.198198,-619.974915,442627.6875,-4536.404297,4030.514648,-0.011733,-0.015447,-0.006348,0.000089,1.209709
11,-2.355908,-0.051906,-625.575439,439578.7188,-4712.549805,3908.714111,-0.009062,-0.009344,-0.009362,-0.004565,1.209709
12,-2.421379,1.297584,-623.428772,441788.5,-5040.239258,3991.774658,-0.006201,-0.002592,0.005248,-0.003649,1.209709
13,-2.122162,1.972008,-618.861633,440972.9375,-5711.918457,3898.183838,-0.005248,-0.017546,0.003456,-0.0059,1.209709
14,-2.248911,1.150236,-619.98175,443148.2813,-4385.46582,3982.473633,0.004785,0.005609,0.000175,-0.000178,1.209709
15,-2.519317,1.48862,-618.516479,442937.3125,-4672.342773,3913.014893,-0.00376,-0.000036,-0.000397,0.01386,1.209709
16,-1.640031,1.705059,-618.858337,441436.7813,-4630.344238,4059.928711,-0.002387,-0.021475,-0.004975,0.00955,1.209709
17,-2.055737,1.274408,-623.066406,442046,-4627.474609,3824.801025,0.001581,-0.006292,-0.003754,-0.004908,1.209709
18,-2.349918,1.320132,-619.177734,439705.1563,-4614.547363,4166.588379,0.002954,0.008737,-0.010048,-0.001437,1.209709
19,-2.224314,1.103704,-621.601746,441792,-4712.160156,3951.064453,-0.005019,0.002329,0.001892,-0.003153,1.209709
20,-2.200905,2.099299,-629.446106,442478.9063,-4278.157227,3903.687012,0.005853,-0.003584,0.00708,-0.009753,1.209709
21,-2.022229,1.465873,-618.669739,441316.25,-4627.132324,3832.116943,-0.002844,0.010187,-0.006081,0.009168,1.209709
22,-2.156274,1.488417,-618.870972,442159.5313,-4738.018066,3960.840088,-0.014937,-0.004843,0.000709,0.00852,1.209709
23,-2.097259,1.781999,-622.145325,441893.4375,-4606.119629,3789.045654,-0.007422,-0.013426,-0.003029,0.002225,1.209709
24,-1.870447,1.312946,-609.941467,442343.4688,-4842.446777,4044.577637,-0.002959,-0.006598,-0.000588,0.000814,1.209709
25,-2.117465,1.297122,-621.191345,439838.875,-4605.427246,4105.876953,-0.011504,-0.014074,0.009902,-0.004412,1.209709
26,-2.369467,1.853365,-621.773132,442020.875,-4350.687988,3974.989014,-0.010283,-0.010527,-0.006081,-0.007655,1.209709
27,-2.198539,1.273886,-620.84613,440680.9688,-4705.143555,3890.865723,-0.000441,0.003664,-0.003106,-0.010058,1.209709
28,-2.258591,1.389333,-616.869568,442679.2813,-4506.541016,4118.788574,0.005014,0.016672,0.000213,0.015882,1.209709
29,-2.122789,1.781529,-625.449219,442614.2813,-4791.419922,3961.434326,-0.001967,0.009386,-0.001656,0.006689,1.209709
30,-1.885127,1.489268,-619.02533,441121.8125,-4301.580566,3990.53418,-0.015929,-0.00923,-0.002152,0.002836,1.209709
31,-2.190762,1.701051,-613.218201,442983.2813,-4179.26709,4187.203613,-0.007842,-0.005072,0.005783,-0.00445,1.209709
32,-2.279155,1.415972,-617.181213,440280,-4508.733887,4085.444824,-0.015395,-0.009459,0.010932,-0.006854,1.209709
33,-0.603109,1.314117,-622.184937,442561.5938,-4581.026367,4483.08252,0.002649,-0.036428,0.003799,-0.004832,1.209709
34,-2.232413,0.982088,-622.338135,442512.0625,-4223.419922,4094.445557,0.001276,-0.002211,0.000022,0.016912,1.209709
35,-2.046605,1.441481,-621.265442,443202.5313,-4608.754395,3847.353271,-0.008223,0.020716,-0.010086,-0.005137,1.209709
36,-2.12437,1.369112,-620.323486,441842.8438,-4651.38623,3910.435059,-0.008719,-0.011099,-0.005433,-0.007922,1.209709
37,-2.237977,2.217083,-622.682983,441877.1875,-4433.974121,3873.563232,-0.015013,-0.007666,-0.000054,0.004133,1.209709
